"year","stfips","cigsales","price"
1990,9,91.5,171.2
1991,9,86.699997,175.60001
1992,9,83.5,193.5
1993,9,79.099998,202.3
1994,9,76.599998,205.60001
1995,9,79.300003,205.39999
1996,9,76,206.3
1997,9,75.900002,208.5
1970,10,155,39
1971,10,161.10001,41.299999
1972,10,156.3,44.700001
1973,10,154.7,44
1974,10,151.3,44.200001
1975,10,147.60001,45.900002
1976,10,153,50.099998
1977,10,153.3,51.700001
1978,10,155.5,58.700001
1979,10,150.2,60
1980,10,150.5,62.700001
1981,10,152.60001,66
1982,10,154.10001,74.099998
1983,10,149.60001,82
1984,10,144,91.099998
1985,10,144.5,98.699997
1986,10,142.39999,105.2
1987,10,141,111.4
1988,10,137.10001,119.3
1989,10,131.7,124
1990,10,127.2,140
1991,10,118.8,143.2
1992,10,120,174.7
1993,10,123.8,187.89999
1994,10,126.1,152.5
1995,10,127.2,160.7
1996,10,128.3,169.10001
1997,10,124.1,171.89999
1970,13,109.9,34.299999
1971,13,115.7,35.799999
1972,13,117,40.900002
1973,13,119.8,42.400002
1974,13,123.7,42.400002
1975,13,122.9,44.5
1976,13,125.9,47.900002
1977,13,127.9,49.5
1978,13,130.60001,54.700001
1979,13,131,56.599998
1980,13,134,59.299999
1981,13,131.7,62.599998
1982,13,131.2,67.800003
1983,13,128.60001,78.900002
1984,13,126.3,86.800003
1985,13,128.8,90.699997
1986,13,129,100.1
1987,13,129.3,103.9
1988,13,124.1,109.2
1989,13,117.1,122.4
1990,13,113.8,132.3
1991,13,109.6,138.2
1992,13,109.2,159.5
1993,13,109.2,167.2
1994,13,107.8,147.8
1995,13,100.3,153.8
1996,13,102.7,156.10001
1997,13,100.6,158.89999
1970,16,102.4,33.799999
1971,16,108.5,33.599998
1972,16,126.1,33.700001
1973,16,121.8,36.299999
1974,16,125.6,38
1975,16,123.3,40.299999
1976,16,125.1,42.5
1977,16,125,45.599998
1978,16,122.8,51.5
1979,16,117.5,55.400002
1980,16,115.2,56.400002
1981,16,114.1,59.200001
1982,16,111.5,67.599998
1983,16,111.3,76.5
1984,16,103.6,88.5
1985,16,100.7,97.599998
1986,16,96.699997,99.900002
1987,16,95,107.1
1988,16,84.5,121.9
1989,16,78.400002,133.60001
1990,16,90.099998,141.3
1991,16,85.400002,144.39999
1992,16,85.099998,167.2
1993,16,86.699997,171.2
1994,16,93,150.5
1995,16,78.199997,163.5
1996,16,73.599998,176.5
1997,16,75,184.39999
1970,17,124.8,41.400002
1971,17,125.6,41.400002
1972,17,126.6,41.900002
1973,17,124.4,41
1974,17,131.89999,41.900002
1975,17,131.8,45.200001
1976,17,134.39999,48.400002
1977,17,134,49.400002
1978,17,136.7,54.599998
1979,17,135.3,56.799999
1980,17,135.2,60
1981,17,133,63.099998
1982,17,130.7,69.599998
1983,17,127.9,80.800003
1984,17,124,89.599998
1985,17,121.6,96.699997
1986,17,118.2,108.4
1987,17,109.5,116.2
1988,17,107.6,124.1
1989,17,104.6,132.7
1990,17,94.099998,147.3
1991,17,96.099998,154
1992,17,94.800003,179.8
1993,17,94.599998,187.5
1994,17,85.699997,182.10001
1995,17,84.300003,185.2
1996,17,81.800003,188.7
1997,17,79.599998,198.7
1970,18,134.60001,30.6
1971,18,139.3,32.200001
1972,18,149.2,32.5
1973,18,156,32.900002
1974,18,159.60001,34.5
1975,18,162.39999,36.700001
1976,18,166.60001,38.700001
1977,18,173,40.599998
1978,18,150.89999,50
1979,18,148.89999,52.5
1980,18,146.89999,53.700001
1981,18,148.5,58.299999
1982,18,147.7,65.099998
1983,18,143,75.699997
1984,18,137.8,85.199997
1985,18,135.3,88.800003
1986,18,137.60001,93.599998
1987,18,134,100.1
1988,18,134,109.3
1989,18,132.5,119
1990,18,128.3,130.8
1991,18,127.2,135.8
1992,18,128.2,153.5
1993,18,126.8,157.5
1994,18,128.2,146.60001
1995,18,135.39999,146.3
1996,18,135.10001,147.8
1997,18,135.3,156.3
1970,19,108.5,37.700001
1971,19,108.4,38.5
1972,19,109.4,41.900002
1973,19,110.6,41.900002
1974,19,116.1,43.200001
1975,19,120.5,45.400002
1976,19,124.4,47.799999
1977,19,125.5,49.400002
1978,19,127.1,54.599998
1979,19,124.2,56.400002
1980,19,124.6,58.799999
1981,19,132.89999,61.400002
1982,19,116.2,72.800003
1983,19,115.6,84
1984,19,111.2,93.300003
1985,19,109.4,99.5
1986,19,104.1,104.8
1987,19,101.1,117.1
1988,19,100.2,124.2
1989,19,94.400002,145.10001
1990,19,95.400002,149.60001
1991,19,97.099998,155.39999
1992,19,95.199997,178.5
1993,19,92.5,189.7
1994,19,93.400002,171.39999
1995,19,93,179
1996,19,94,183.8
1997,19,93.900002,189.3
1970,20,114,34.200001
1971,20,102.8,38.900002
1972,20,111,38.799999
1973,20,115.2,39.299999
1974,20,118.6,40.200001
1975,20,123.4,42.700001
1976,20,127.7,46.599998
1977,20,127.9,48.099998
1978,20,127.1,52.599998
1979,20,126.4,54.799999
1980,20,127.1,58.299999
1981,20,132,59.799999
1982,20,130.89999,65.099998
1983,20,127.6,77
1984,20,121.7,91
1985,20,115.7,97.5
1986,20,109.4,103
1987,20,105.2,114.5
1988,20,103.2,123.9
1989,20,96.5,136.5
1990,20,94.300003,145.8
1991,20,91.800003,152.7
1992,20,90,174.2
1993,20,89.900002,174.2
1994,20,89.099998,159.60001
1995,20,90.099998,165.7
1996,20,88.699997,167.7
1997,20,89.199997,171.3
1970,21,155.8,28.299999
1971,21,163.5,30.1
1972,21,179.39999,30.6
1973,21,201.89999,30.6
1974,21,212.39999,31.5
1975,21,223,33.299999
1976,21,230.89999,36
1977,21,229.39999,36.900002
1978,21,224.7,41.400002
1979,21,214.89999,43.400002
1980,21,215.3,46.299999
1981,21,209.7,49.400002
1982,21,210.60001,56.299999
1983,21,201.10001,66.400002
1984,21,183.2,75.400002
1985,21,182.39999,79.300003
1986,21,179.8,85.400002
1987,21,171.2,90.5
1988,21,173.2,94.400002
1989,21,171.60001,103.8
1990,21,182.5,115.6
1991,21,170.39999,120.5
1992,21,167.60001,135.8
1993,21,167.60001,145.39999
1994,21,170.10001,132.8
1995,21,175.3,134.8
1996,21,179,139.8
1997,21,186.8,145.60001
1970,22,115.9,34.299999
1971,22,119.8,39.299999
1972,22,125.3,40
1973,22,126.7,39.900002
1974,22,129.89999,41.599998
1975,22,133.60001,44.299999
1976,22,139.60001,48.099998
1977,22,140,48.900002
1978,22,142.7,54.200001
1979,22,140.10001,57.099998
1980,22,143.8,60
1981,22,144,62.599998
1982,22,143.89999,70.300003
1983,22,133.7,80.699997
1984,22,128.89999,90.699997
1985,22,125,103
1986,22,121.2,105.1
1987,22,116.5,117.8
1988,22,110.9,120.4
1989,22,103.6,130.7
1990,22,101.5,143.39999
1991,22,107.2,149.60001
1992,22,108.5,178.10001
1993,22,106.2,180.5
1994,22,105.3,157.39999
1995,22,105.7,155.8
1996,22,106.8,165.3
1997,22,105.3,166.89999
1970,23,128.5,38
1971,23,133.2,38.799999
1972,23,136.5,41.5
1973,23,138,41
1974,23,142.10001,41.799999
1975,23,140.7,46.700001
1976,23,144.89999,49.900002
1977,23,145.60001,50.900002
1978,23,143.89999,55
1979,23,138.5,54.5
1980,23,141.2,59
1981,23,138.89999,62.900002
1982,23,139.5,69.699997
1983,23,135.39999,80.800003
1984,23,135.5,93.699997
1985,23,127.9,98.099998
1986,23,119,112.7
1987,23,125,121.2
1988,23,125,129
1989,23,122.4,144.39999
1990,23,117.5,160.10001
1991,23,116.1,165.8
1992,23,114.5,187.7
1993,23,108.5,192.60001
1994,23,101.6,178.3
1995,23,102.3,184.89999
1996,23,100,186.89999
1997,23,101.1,190.2
1970,27,104.3,39.099998
1971,27,116.4,40.099998
1972,27,96.800003,45.200001
1973,27,106.8,45.599998
1974,27,110.6,47
1975,27,111.5,49.400002
1976,27,116.7,52.099998
1977,27,117.2,53.099998
1978,27,118.9,57.900002
1979,27,118.3,60.900002
1980,27,117.7,63
1981,27,120.8,65.800003
1982,27,119.4,71.699997
1983,27,113.2,87.300003
1984,27,110.8,99.199997
1985,27,113,101.5
1986,27,104.3,116.3
1987,27,108.8,120.1
1988,27,94.099998,141.7
1989,27,92.300003,152.5
1990,27,90.699997,162.3
1991,27,86.199997,173.89999
1992,27,83.800003,197.7
1993,27,81.599998,215.60001
1994,27,83.400002,196.10001
1995,27,84.099998,202.2
1996,27,81.699997,208.60001
1997,27,84.099998,216.8
1970,28,93.400002,36.200001
1971,28,105.4,37.5
1972,28,112.1,37.400002
1973,28,115,37.299999
1974,28,117.1,41.400002
1975,28,116.8,43
1976,28,120.9,46.400002
1977,28,122.1,48.799999
1978,28,124.9,53.599998
1979,28,123.9,56.5
1980,28,127,59.700001
1981,28,125.3,63
1982,28,125.8,69.199997
1983,28,122.3,78.599998
1984,28,116.4,89
1985,28,115.3,96.400002
1986,28,113.2,106
1987,28,110,115.8
1988,28,109,122.6
1989,28,108.3,125.8
1990,28,101.8,139.89999
1991,28,105.6,142.7
1992,28,103.9,160.8
1993,28,105.4,177.8
1994,28,106,156.89999
1995,28,107.5,153.89999
1996,28,106.9,161.2
1997,28,106.3,168.60001
1970,29,121.3,36
1971,29,127.6,36.799999
1972,29,130,37.700001
1973,29,132.10001,37.700001
1974,29,135.39999,38
1975,29,135.60001,43.5
1976,29,139.5,44.700001
1977,29,140.8,45.900002
1978,29,141.8,49.900002
1979,29,140.2,52.200001
1980,29,142.10001,57.299999
1981,29,140.5,59.900002
1982,29,139.7,64.699997
1983,29,134.10001,74.800003
1984,29,130,84.800003
1985,29,129.2,93.699997
1986,29,128.8,101.9
1987,29,128.7,108.5
1988,29,127.4,114.6
1989,29,122.8,118.9
1990,29,119.1,129.10001
1991,29,119.9,132.5
1992,29,122.3,153.10001
1993,29,121.6,157.60001
1994,29,119.4,146.8
1995,29,124,150.3
1996,29,124.1,159.8
1997,29,120.6,163.39999
1970,30,111.2,34
1971,30,115.6,34.700001
1972,30,122.2,40.099998
1973,30,119.9,40.900002
1974,30,121.9,41.799999
1975,30,123.7,43.700001
1976,30,124.9,45.299999
1977,30,127,47.599998
1978,30,127.2,51.900002
1979,30,120.3,53.700001
1980,30,122,56.700001
1981,30,121.1,60.400002
1982,30,122.4,65.699997
1983,30,113.7,77.199997
1984,30,110.1,91.300003
1985,30,103.6,95.5
1986,30,97.800003,102
1987,30,91.699997,106.2
1988,30,87.099998,115.3
1989,30,86.199997,123
1990,30,84.699997,140.39999
1991,30,82.900002,143.60001
1992,30,86.599998,163.5
1993,30,86,179.39999
1994,30,88.199997,151.3
1995,30,90.5,155.39999
1996,30,87.300003,156.8
1997,30,88.900002,164.89999
1970,31,108.1,33.900002
1971,31,108.6,34.700001
1972,31,104.9,41.099998
1973,31,106.6,41.200001
1974,31,110.5,42
1975,31,114.1,44.599998
1976,31,118.1,46.799999
1977,31,117.7,48.099998
1978,31,117.4,53.599998
1979,31,116.1,55.400002
1980,31,116.3,59.5
1981,31,117,60.900002
1982,31,117.1,69.699997
1983,31,110.8,83.699997
1984,31,107.7,94.800003
1985,31,105.1,95.800003
1986,31,103.1,104
1987,31,101.3,113.7
1988,31,92.900002,123.3
1989,31,93.800003,139.3
1990,31,89.900002,143.39999
1991,31,92.400002,152.2
1992,31,90.599998,169.5
1993,31,91.099998,177.2
1994,31,85.900002,169.60001
1995,31,88.5,170.7
1996,31,86.199997,175.5
1997,31,85.5,184.8
1970,32,189.5,38.900002
1971,32,190.5,44
1972,32,198.60001,40.599998
1973,32,201.5,40.299999
1974,32,204.7,41.900002
1975,32,205.2,44.5
1976,32,201.39999,44.900002
1977,32,190.8,49.299999
1978,32,187,54.299999
1979,32,183.3,57.099998
1980,32,177.7,63.099998
1981,32,171.89999,63.299999
1982,32,165.10001,71.599998
1983,32,159.2,81.900002
1984,32,136.60001,99.800003
1985,32,146.7,109.3
1986,32,142.60001,106.6
1987,32,147.7,114
1988,32,141.89999,129.60001
1989,32,137.89999,145.60001
1990,32,137.3,173.7
1991,32,115.5,186.3
1992,32,110,193.8
1993,32,108.1,196.8
1994,32,105.2,190.3
1995,32,100.9,190.39999
1996,32,99,195
1997,32,95.599998,198.5
1970,33,265.70001,31.4
1971,33,278,34.099998
1972,33,296.20001,36.099998
1973,33,279,36.900002
1974,33,269.79999,37.900002
1975,33,269.10001,40.799999
1976,33,290.5,43.900002
1977,33,278.79999,45
1978,33,269.60001,49.700001
1979,33,254.60001,53.200001
1980,33,247.8,55.299999
1981,33,245.39999,58.400002
1982,33,239.8,67
1983,33,232.89999,74.699997
1984,33,215.10001,90.5
1985,33,201.10001,89.199997
1986,33,195.89999,100
1987,33,195.10001,102
1988,33,180.39999,113.5
1989,33,172.89999,125.9
1990,33,152.39999,135.89999
1991,33,144.8,153.89999
1992,33,143.7,164.39999
1993,33,148.89999,181.10001
1994,33,153.8,157.8
1995,33,158.5,163.89999
1996,33,158,168.60001
1997,33,174.39999,176.60001
1970,35,90,39.700001
1971,35,92.599998,41.700001
1972,35,99.300003,41.099998
1973,35,98.900002,41.799999
1974,35,100.3,43.700001
1975,35,103.1,46.299999
1976,35,102.4,49.5
1977,35,102.4,51.599998
1978,35,103.1,56
1979,35,101,57.599998
1980,35,102.7,62.599998
1981,35,103,63
1982,35,97.5,69.400002
1983,35,96.300003,79.599998
1984,35,88.900002,90.199997
1985,35,88,97.5
1986,35,88.199997,101.2
1987,35,82.300003,110.2
1988,35,77.699997,113.7
1989,35,74.400002,127.2
1990,35,70.800003,133.60001
1991,35,69.900002,146.89999
1992,35,71.400002,165.39999
1993,35,69,172.2
1994,35,68.199997,158.39999
1995,35,67,163.5
1996,35,65.699997,170.8
1997,35,61.799999,176
1970,37,172.39999,27.299999
1971,37,187.60001,29.4
1972,37,214.10001,28.700001
1973,37,226.5,28.9
1974,37,227.3,30.1
1975,37,226,32.900002
1976,37,230.2,35.799999
1977,37,217,36.599998
1978,37,205.5,41.799999
1979,37,197.3,43.700001
1980,37,187.8,47.299999
1981,37,179.3,50
1982,37,179,55.5
1983,37,169.8,66
1984,37,160.60001,75
1985,37,156.3,78.900002
1986,37,154.39999,83.699997
1987,37,150.5,90.599998
1988,37,146,96
1989,37,139.3,107.6
1990,37,133.7,116.4
1991,37,132.7,126.6
1992,37,128.89999,145
1993,37,129.7,153.5
1994,37,112.7,135.89999
1995,37,124.9,142.3
1996,37,129.7,145.60001
1997,37,125.6,152
1970,38,93.800003,37.299999
1971,38,98.5,38.900002
1972,38,103.8,38.900002
1973,38,108.7,39.400002
1974,38,110.5,39.900002
1975,38,117.9,42.599998
1976,38,125.4,45.900002
1977,38,122.2,47.400002
1978,38,121.9,53.200001
1979,38,121.3,55
1980,38,123.7,59.599998
1981,38,125.7,62
1982,38,126.8,67.800003
1983,38,119.6,77.900002
1984,38,109.4,94.400002
1985,38,103.2,100.6
1986,38,99.800003,104.2
1987,38,92.300003,110.3
1988,38,87.099998,123.3
1989,38,84.099998,135.89999
1990,38,77.099998,144.3
1991,38,85.199997,159.8
1992,38,74.300003,168.3
1993,38,83,177.60001
1994,38,81,180.10001
1995,38,80.599998,179.5
1996,38,80.800003,182.7
1997,38,77.5,194.10001
1970,39,121.6,36.599998
1971,39,124.6,38.099998
1972,39,124.4,38.400002
1973,39,120.5,42
1974,39,122.1,42.900002
1975,39,122.5,46
1976,39,124.6,48.5
1977,39,127.3,49.799999
1978,39,131.3,53.900002
1979,39,130.89999,56.299999
1980,39,133.5,58.700001
1981,39,132.8,61.400002
1982,39,134,68.300003
1983,39,130,82.5
1984,39,127.1,89.199997
1985,39,126.7,92.199997
1986,39,126.3,98.099998
1987,39,124.6,102.2
1988,39,122.4,108.4
1989,39,118.6,120.5
1990,39,115.5,135.39999
1991,39,113.2,139.8
1992,39,112.3,159.60001
1993,39,108.9,162.5
1994,39,108.6,151.2
1995,39,111.7,155.60001
1996,39,107.6,159.7
1997,39,108.6,166.8
1970,40,108.4,38.400002
1971,40,115.4,39.799999
1972,40,121.7,39.799999
1973,40,124.1,40.400002
1974,40,130.5,41
1975,40,132.89999,43.599998
1976,40,138.60001,46.400002
1977,40,140.39999,47.900002
1978,40,143.60001,53.099998
1979,40,141.60001,55.5
1980,40,141.60001,62.900002
1981,40,143.7,65.800003
1982,40,147,71.699997
1983,40,140,83.900002
1984,40,128.10001,93.300003
1985,40,124.2,95.099998
1986,40,119.9,104.6
1987,40,113.1,114.4
1988,40,103.6,122.6
1989,40,97.5,133.39999
1990,40,88.400002,146.10001
1991,40,87.800003,149.10001
1992,40,86.300003,170.60001
1993,40,86.199997,182.39999
1994,40,104.8,163.39999
1995,40,109.5,161.10001
1996,40,110.8,162.7
1997,40,111.8,172
1970,42,107.3,38.400002
1971,42,106.3,44.700001
1972,42,109,44.700001
1973,42,110.7,44.900002
1974,42,114.2,46.599998
1975,42,114.6,49.799999
1976,42,118.8,52.299999
1977,42,120.1,53.299999
1978,42,122.3,57.400002
1979,42,122.6,60.599998
1980,42,124,61.299999
1981,42,125.2,64.800003
1982,42,123.3,69.800003
1983,42,125.3,81.699997
1984,42,115.3,97.699997
1985,42,115.8,100.1
1986,42,113.9,104.9
1987,42,110.6,110
1988,42,107.6,112.3
1989,42,107.1,122.8
1990,42,101.3,133.7
1991,42,102.5,144.10001
1992,42,96.199997,176.2
1993,42,94.699997,183.8
1994,42,95.400002,158.10001
1995,42,95.400002,161.7
1996,42,93.300003,169.39999
1997,42,92.900002,176.5
1970,44,123.9,39.299999
1971,44,123.2,40.200001
1972,44,134.39999,41.599998
1973,44,142,40.599998
1974,44,146.10001,41.299999
1975,44,154.7,44.299999
1976,44,150.2,52.200001
1977,44,148.8,52.299999
1978,44,146.8,56.299999
1979,44,145.8,58.700001
1980,44,149.3,60
1981,44,151.2,64.5
1982,44,146.3,71.599998
1983,44,135.8,84
1984,44,136.89999,94.800003
1985,44,133.39999,100.3
1986,44,136.3,101.8
1987,44,124.4,113.5
1988,44,138,121.5
1989,44,120.8,134.8
1990,44,101.4,150.89999
1991,44,103.6,170.3
1992,44,100.1,190
1993,44,94.099998,197.89999
1994,44,91.900002,168.89999
1995,44,90.800003,209.60001
1996,44,87.5,214.89999
1997,44,90,217
1970,45,103.6,32.5
1971,45,115,34.299999
1972,45,118.7,34.099998
1973,45,125.5,33.5
1974,45,129.7,35.200001
1975,45,130.5,38.099998
1976,45,136.8,41
1977,45,137.2,42.200001
1978,45,140.39999,49.200001
1979,45,135.7,50.200001
1980,45,138.3,52.299999
1981,45,136.10001,54.700001
1982,45,136,61.900002
1983,45,131.10001,72.400002
1984,45,127,81.300003
1985,45,125.4,83
1986,45,126.6,88.699997
1987,45,126.6,95.300003
1988,45,124.4,99.900002
1989,45,122.4,111.9
1990,45,118.6,125.2
1991,45,121.5,129
1992,45,112.8,151.89999
1993,45,115.2,164.5
1994,45,112.2,139.10001
1995,45,109.2,140
1996,45,102.9,149.5
1997,45,124.5,153.89999
